grade,sub_grade,loan_status
B,B5,Fully Paid
B,B2,Fully Paid
D,D2,Fully Paid
D,D4,Fully Paid
A,A2,Fully Paid
C,C2,Charged Off
B,B3,Fully Paid
B,B5,Fully Paid
B,B2,Fully Paid
C,C1,Fully Paid
C,C3,Fully Paid
B,B2,Fully Paid
C,C4,Fully Paid
B,B4,Charged Off
D,D1,Charged Off
B,B1,Fully Paid
A,A5,Fully Paid
C,C4,Fully Paid
B,B4,Fully Paid
E,E5,Fully Paid
C,C4,Fully Paid
C,C1,Fully Paid
C,C2,Charged Off
C,C4,Fully Paid
A,A2,Fully Paid
B,B4,Fully Paid
C,C2,Fully Paid
D,D3,Fully Paid
D,D3,Fully Paid
B,B4,Fully Paid
B,B5,Charged Off
C,C1,Fully Paid
C,C1,Fully Paid
G,G4,Fully Paid
A,A4,Charged Off
D,D2,Charged Off
B,B3,Charged Off
A,A3,Fully Paid
D,D3,Fully Paid
B,B4,Fully Paid
B,B3,Fully Paid
B,B5,Charged Off
A,A2,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
A,A2,Fully Paid
A,A5,Fully Paid
F,F3,Fully Paid
C,C3,Fully Paid
B,B5,Charged Off
B,B4,Fully Paid
B,B4,Fully Paid
D,D4,Fully Paid
C,C1,Fully Paid
B,B1,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
B,B1,Fully Paid
B,B5,Fully Paid
D,D3,Fully Paid
E,E2,Fully Paid
B,B5,Charged Off
A,A1,Fully Paid
A,A4,Fully Paid
B,B3,Fully Paid
B,B4,Charged Off
A,A3,Fully Paid
B,B3,Fully Paid
B,B3,Fully Paid
A,A5,Fully Paid
B,B4,Fully Paid
C,C1,Fully Paid
C,C1,Fully Paid
C,C1,Fully Paid
A,A4,Fully Paid
B,B5,Fully Paid
A,A5,Charged Off
B,B3,Fully Paid
E,E1,Fully Paid
A,A4,Fully Paid
C,C1,Charged Off
B,B1,Fully Paid
A,A4,Fully Paid
B,B5,Charged Off
A,A1,Fully Paid
A,A2,Fully Paid
A,A5,Fully Paid
A,A5,Fully Paid
A,A4,Charged Off
B,B4,Fully Paid
C,C5,Fully Paid
A,A1,Fully Paid
A,A3,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
C,C4,Fully Paid
C,C4,Fully Paid
B,B3,Fully Paid
B,B1,Fully Paid
B,B1,Fully Paid
A,A5,Fully Paid
D,D3,Fully Paid
B,B3,Fully Paid
B,B1,Fully Paid
B,B2,Fully Paid
A,A3,Fully Paid
B,B3,Fully Paid
B,B4,Fully Paid
B,B3,Fully Paid
D,D1,Charged Off
B,B4,Charged Off
D,D2,Charged Off
B,B3,Fully Paid
C,C2,Fully Paid
E,E5,Charged Off
D,D1,Fully Paid
E,E5,Fully Paid
A,A1,Fully Paid
B,B1,Fully Paid
B,B5,Fully Paid
C,C1,Fully Paid
A,A4,Fully Paid
B,B1,Fully Paid
E,E4,Charged Off
E,E1,Charged Off
B,B3,Fully Paid
A,A1,Fully Paid
C,C4,Charged Off
D,D3,Charged Off
D,D1,Fully Paid
C,C4,Fully Paid
C,C3,Fully Paid
B,B4,Fully Paid
D,D4,Fully Paid
B,B4,Charged Off
A,A1,Fully Paid
E,E2,Fully Paid
E,E2,Fully Paid
B,B1,Charged Off
C,C4,Fully Paid
C,C1,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
B,B2,Fully Paid
B,B3,Fully Paid
D,D2,Fully Paid
D,D3,Fully Paid
C,C5,Fully Paid
B,B5,Fully Paid
B,B3,Charged Off
A,A5,Charged Off
B,B5,Fully Paid
C,C3,Fully Paid
C,C5,Fully Paid
B,B3,Charged Off
D,D2,Fully Paid
B,B2,Fully Paid
E,E2,Fully Paid
B,B5,Charged Off
C,C1,Fully Paid
B,B1,Fully Paid
A,A4,Fully Paid
D,D4,Fully Paid
A,A4,Fully Paid
A,A1,Fully Paid
C,C2,Fully Paid
A,A3,Charged Off
C,C5,Fully Paid
A,A1,Fully Paid
C,C3,Fully Paid
A,A4,Fully Paid
E,E2,Charged Off
E,E3,Charged Off
C,C4,Fully Paid
C,C5,Fully Paid
B,B5,Charged Off
B,B3,Fully Paid
C,C4,Fully Paid
B,B5,Fully Paid
A,A5,Fully Paid
D,D3,Fully Paid
B,B4,Fully Paid
B,B3,Fully Paid
B,B1,Fully Paid
B,B3,Fully Paid
E,E2,Fully Paid
A,A5,Charged Off
A,A4,Fully Paid
C,C2,Fully Paid
A,A5,Fully Paid
B,B5,Charged Off
B,B5,Charged Off
B,B2,Fully Paid
B,B1,Fully Paid
B,B3,Fully Paid
A,A4,Fully Paid
B,B4,Fully Paid
B,B4,Fully Paid
A,A4,Charged Off
B,B5,Fully Paid
D,D1,Fully Paid
D,D5,Fully Paid
A,A2,Fully Paid
B,B3,Fully Paid
B,B3,Fully Paid
B,B3,Fully Paid
C,C5,Fully Paid
D,D1,Fully Paid
C,C1,Fully Paid
C,C4,Fully Paid
A,A5,Fully Paid
C,C2,Fully Paid
C,C5,Fully Paid
F,F2,Fully Paid
C,C3,Fully Paid
C,C2,Fully Paid
B,B4,Fully Paid
D,D1,Fully Paid
F,F2,Fully Paid
A,A4,Fully Paid
C,C1,Fully Paid
A,A3,Fully Paid
E,E1,Charged Off
B,B4,Fully Paid
C,C3,Charged Off
B,B3,Fully Paid
C,C1,Fully Paid
B,B5,Fully Paid
A,A4,Fully Paid
B,B4,Fully Paid
A,A2,Fully Paid
A,A4,Fully Paid
C,C3,Charged Off
A,A4,Fully Paid
C,C2,Charged Off
E,E2,Fully Paid
C,C5,Fully Paid
A,A3,Fully Paid
B,B1,Fully Paid
D,D2,Fully Paid
C,C1,Charged Off
E,E3,Fully Paid
C,C4,Fully Paid
B,B3,Charged Off
A,A4,Fully Paid
D,D2,Charged Off
D,D4,Fully Paid
A,A5,Fully Paid
B,B5,Fully Paid
A,A3,Fully Paid
B,B1,Fully Paid
A,A2,Fully Paid
A,A1,Fully Paid
A,A5,Fully Paid
A,A4,Fully Paid
A,A3,Fully Paid
E,E2,Fully Paid
A,A4,Fully Paid
D,D4,Fully Paid
B,B4,Fully Paid
D,D1,Fully Paid
B,B1,Fully Paid
B,B3,Fully Paid
C,C1,Fully Paid
B,B1,Fully Paid
B,B5,Fully Paid
B,B1,Fully Paid
A,A1,Fully Paid
D,D5,Charged Off
B,B4,Fully Paid
A,A3,Fully Paid
A,A5,Fully Paid
D,D3,Charged Off
A,A2,Fully Paid
B,B2,Charged Off
B,B5,Fully Paid
D,D1,Charged Off
E,E1,Fully Paid
B,B5,Fully Paid
D,D4,Fully Paid
B,B4,Fully Paid
A,A2,Fully Paid
C,C1,Fully Paid
A,A5,Fully Paid
B,B3,Fully Paid
D,D5,Fully Paid
D,D3,Charged Off
D,D5,Fully Paid
B,B3,Fully Paid
D,D2,Fully Paid
A,A4,Charged Off
B,B2,Fully Paid
A,A3,Fully Paid
A,A3,Fully Paid
C,C4,Charged Off
B,B5,Fully Paid
B,B4,Fully Paid
A,A3,Fully Paid
E,E3,Charged Off
A,A5,Charged Off
C,C4,Fully Paid
E,E2,Fully Paid
C,C2,Fully Paid
A,A5,Fully Paid
C,C1,Fully Paid
B,B3,Fully Paid
E,E5,Charged Off
A,A4,Fully Paid
C,C5,Fully Paid
B,B2,Fully Paid
C,C1,Fully Paid
B,B3,Fully Paid
B,B3,Fully Paid
D,D1,Fully Paid
B,B4,Fully Paid
C,C3,Charged Off
C,C2,Fully Paid
B,B4,Fully Paid
B,B2,Fully Paid
C,C3,Fully Paid
C,C3,Fully Paid
B,B2,Fully Paid
B,B3,Fully Paid
D,D2,Fully Paid
B,B4,Charged Off
C,C2,Fully Paid
D,D5,Fully Paid
C,C5,Fully Paid
B,B3,Fully Paid
C,C1,Fully Paid
D,D4,Fully Paid
C,C5,Fully Paid
E,E2,Fully Paid
C,C4,Charged Off
D,D5,Fully Paid
A,A3,Fully Paid
B,B5,Charged Off
B,B2,Fully Paid
A,A2,Fully Paid
C,C5,Fully Paid
B,B3,Fully Paid
E,E1,Fully Paid
E,E4,Charged Off
A,A4,Fully Paid
A,A4,Charged Off
B,B1,Fully Paid
B,B1,Fully Paid
C,C3,Charged Off
B,B3,Fully Paid
E,E5,Charged Off
G,G3,Fully Paid
D,D1,Charged Off
F,F2,Fully Paid
C,C1,Fully Paid
D,D1,Fully Paid
C,C4,Fully Paid
D,D4,Charged Off
B,B4,Charged Off
B,B2,Fully Paid
A,A1,Fully Paid
D,D2,Fully Paid
D,D3,Fully Paid
C,C3,Fully Paid
B,B2,Fully Paid
B,B1,Fully Paid
A,A5,Fully Paid
A,A2,Fully Paid
B,B3,Fully Paid
C,C4,Fully Paid
C,C2,Charged Off
A,A4,Charged Off
B,B4,Fully Paid
B,B1,Fully Paid
A,A4,Charged Off
A,A2,Fully Paid
B,B2,Fully Paid
E,E3,Fully Paid
B,B1,Fully Paid
C,C3,Fully Paid
D,D4,Charged Off
B,B4,Charged Off
A,A4,Fully Paid
E,E3,Fully Paid
B,B3,Fully Paid
D,D5,Charged Off
B,B3,Fully Paid
B,B1,Fully Paid
C,C3,Fully Paid
A,A5,Fully Paid
B,B5,Fully Paid
A,A4,Charged Off
D,D1,Charged Off
D,D1,Fully Paid
B,B5,Charged Off
B,B1,Fully Paid
D,D1,Fully Paid
B,B1,Fully Paid
B,B5,Fully Paid
D,D1,Charged Off
D,D2,Charged Off
C,C1,Fully Paid
E,E2,Fully Paid
B,B2,Fully Paid
D,D4,Fully Paid
F,F1,Charged Off
B,B2,Fully Paid
B,B4,Fully Paid
E,E3,Charged Off
E,E3,Fully Paid
A,A4,Charged Off
B,B5,Fully Paid
B,B5,Charged Off
G,G2,Charged Off
B,B1,Fully Paid
C,C2,Fully Paid
B,B2,Fully Paid
E,E2,Fully Paid
D,D2,Fully Paid
E,E2,Fully Paid
C,C2,Fully Paid
A,A4,Fully Paid
A,A5,Fully Paid
B,B2,Fully Paid
E,E4,Fully Paid
B,B5,Fully Paid
D,D3,Fully Paid
C,C3,Charged Off
D,D2,Fully Paid
G,G1,Charged Off
B,B2,Fully Paid
B,B5,Charged Off
D,D2,Fully Paid
B,B4,Fully Paid
B,B3,Charged Off
D,D5,Fully Paid
C,C4,Charged Off
A,A4,Fully Paid
A,A3,Fully Paid
E,E2,Fully Paid
A,A1,Fully Paid
E,E1,Fully Paid
D,D3,Fully Paid
B,B5,Charged Off
B,B4,Fully Paid
B,B2,Fully Paid
B,B5,Fully Paid
D,D2,Fully Paid
B,B4,Charged Off
C,C2,Fully Paid
A,A4,Fully Paid
A,A2,Fully Paid
A,A2,Fully Paid
E,E5,Fully Paid
C,C5,Charged Off
B,B5,Fully Paid
C,C5,Fully Paid
C,C2,Fully Paid
B,B1,Fully Paid
B,B2,Fully Paid
A,A3,Fully Paid
C,C1,Charged Off
D,D4,Fully Paid
B,B2,Fully Paid
C,C1,Fully Paid
B,B5,Fully Paid
E,E5,Fully Paid
C,C2,Fully Paid
D,D3,Charged Off
D,D2,Fully Paid
B,B4,Fully Paid
A,A5,Fully Paid
D,D3,Fully Paid
B,B5,Fully Paid
A,A5,Fully Paid
B,B3,Fully Paid
C,C1,Fully Paid
B,B3,Fully Paid
E,E2,Fully Paid
B,B4,Fully Paid
B,B2,Fully Paid
A,A4,Fully Paid
D,D2,Fully Paid
E,E2,Fully Paid
C,C2,Fully Paid
C,C1,Fully Paid
A,A5,Fully Paid
C,C2,Fully Paid
A,A5,Fully Paid
D,D1,Fully Paid
B,B4,Fully Paid
A,A1,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
B,B4,Fully Paid
B,B3,Fully Paid
A,A3,Fully Paid
B,B1,Fully Paid
B,B2,Fully Paid
E,E5,Fully Paid
B,B5,Fully Paid
E,E4,Charged Off
A,A4,Fully Paid
D,D2,Fully Paid
B,B5,Fully Paid
B,B4,Charged Off
B,B3,Charged Off
B,B2,Fully Paid
C,C2,Fully Paid
B,B1,Fully Paid
C,C3,Fully Paid
B,B3,Charged Off
B,B1,Fully Paid
C,C2,Charged Off
D,D1,Fully Paid
B,B3,Fully Paid
C,C1,Fully Paid
C,C2,Fully Paid
B,B1,Fully Paid
E,E5,Fully Paid
C,C2,Fully Paid
B,B3,Fully Paid
A,A5,Fully Paid
B,B3,Fully Paid
C,C2,Fully Paid
D,D4,Fully Paid
E,E2,Fully Paid
C,C2,Fully Paid
A,A4,Fully Paid
E,E2,Fully Paid
C,C5,Fully Paid
C,C3,Fully Paid
A,A4,Fully Paid
D,D3,Fully Paid
A,A5,Fully Paid
C,C4,Fully Paid
A,A2,Fully Paid
A,A1,Fully Paid
A,A5,Fully Paid
C,C2,Charged Off
C,C2,Fully Paid
D,D4,Fully Paid
D,D2,Charged Off
B,B2,Fully Paid
B,B5,Charged Off
D,D3,Fully Paid
G,G4,Fully Paid
B,B1,Fully Paid
C,C2,Fully Paid
B,B4,Fully Paid
B,B3,Charged Off
A,A1,Fully Paid
A,A2,Fully Paid
B,B4,Fully Paid
B,B2,Fully Paid
A,A3,Fully Paid
B,B1,Fully Paid
C,C2,Fully Paid
C,C2,Fully Paid
B,B2,Fully Paid
E,E2,Fully Paid
D,D5,Charged Off
C,C1,Fully Paid
B,B4,Charged Off
E,E5,Fully Paid
B,B5,Fully Paid
B,B5,Fully Paid
C,C1,Charged Off
D,D2,Fully Paid
D,D2,Fully Paid
C,C2,Fully Paid
B,B3,Fully Paid
C,C1,Fully Paid
C,C5,Fully Paid
B,B5,Fully Paid
A,A3,Fully Paid
C,C1,Fully Paid
B,B3,Fully Paid
F,F1,Charged Off
D,D2,Fully Paid
A,A4,Fully Paid
D,D3,Fully Paid
A,A4,Fully Paid
B,B1,Fully Paid
D,D4,Charged Off
A,A5,Fully Paid
B,B3,Fully Paid
C,C3,Fully Paid
B,B4,Fully Paid
B,B1,Fully Paid
B,B1,Fully Paid
C,C1,Fully Paid
A,A3,Charged Off
A,A1,Fully Paid
E,E2,Fully Paid
E,E5,Charged Off
A,A3,Charged Off
D,D5,Fully Paid
C,C3,Fully Paid
B,B3,Fully Paid
C,C2,Fully Paid
C,C1,Fully Paid
B,B2,Fully Paid
A,A1,Fully Paid
B,B1,Fully Paid
B,B3,Fully Paid
D,D3,Fully Paid
A,A5,Fully Paid
C,C1,Fully Paid
A,A3,Charged Off
B,B5,Charged Off
B,B3,Fully Paid
C,C1,Fully Paid
C,C4,Charged Off
D,D2,Fully Paid
C,C2,Fully Paid
A,A5,Fully Paid
C,C5,Fully Paid
B,B2,Fully Paid
B,B5,Fully Paid
C,C4,Charged Off
D,D3,Fully Paid
C,C2,Fully Paid
B,B1,Fully Paid
A,A5,Fully Paid
D,D2,Fully Paid
C,C5,Fully Paid
B,B1,Fully Paid
D,D2,Fully Paid
A,A3,Fully Paid
B,B3,Charged Off
C,C1,Fully Paid
D,D2,Charged Off
B,B4,Fully Paid
B,B2,Fully Paid
A,A5,Fully Paid
D,D1,Fully Paid
B,B3,Fully Paid
C,C4,Fully Paid
D,D3,Fully Paid
D,D2,Fully Paid
C,C5,Charged Off
C,C2,Fully Paid
A,A4,Fully Paid
A,A4,Fully Paid
E,E3,Charged Off
F,F2,Fully Paid
B,B3,Fully Paid
E,E4,Fully Paid
E,E2,Charged Off
C,C3,Fully Paid
D,D4,Charged Off
B,B2,Fully Paid
E,E5,Fully Paid
C,C3,Fully Paid
B,B5,Fully Paid
E,E3,Charged Off
A,A2,Fully Paid
C,C4,Charged Off
C,C1,Fully Paid
A,A5,Fully Paid
A,A2,Fully Paid
C,C3,Fully Paid
B,B5,Fully Paid
B,B3,Fully Paid
D,D1,Fully Paid
B,B2,Fully Paid
B,B4,Fully Paid
D,D1,Fully Paid
E,E5,Fully Paid
C,C1,Fully Paid
C,C2,Fully Paid
A,A4,Fully Paid
B,B5,Fully Paid
A,A5,Fully Paid
A,A4,Fully Paid
C,C1,Fully Paid
B,B4,Fully Paid
D,D2,Fully Paid
E,E4,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
B,B3,Fully Paid
D,D2,Fully Paid
A,A5,Fully Paid
A,A5,Fully Paid
B,B2,Fully Paid
B,B5,Charged Off
A,A5,Fully Paid
F,F1,Fully Paid
A,A5,Fully Paid
B,B1,Fully Paid
C,C4,Fully Paid
D,D3,Fully Paid
A,A4,Charged Off
C,C1,Fully Paid
A,A5,Fully Paid
B,B4,Fully Paid
B,B3,Fully Paid
B,B4,Fully Paid
F,F1,Charged Off
C,C2,Fully Paid
B,B4,Fully Paid
B,B3,Fully Paid
E,E3,Fully Paid
D,D4,Charged Off
C,C2,Fully Paid
B,B3,Fully Paid
A,A4,Fully Paid
D,D2,Fully Paid
B,B3,Fully Paid
C,C5,Fully Paid
A,A1,Fully Paid
C,C4,Fully Paid
B,B1,Fully Paid
D,D3,Fully Paid
B,B2,Fully Paid
B,B3,Fully Paid
A,A5,Fully Paid
E,E3,Fully Paid
A,A1,Fully Paid
C,C3,Fully Paid
B,B3,Charged Off
B,B1,Charged Off
B,B5,Charged Off
A,A4,Fully Paid
B,B1,Fully Paid
C,C2,Charged Off
C,C3,Fully Paid
F,F1,Charged Off
A,A5,Fully Paid
B,B4,Fully Paid
F,F3,Fully Paid
D,D1,Fully Paid
D,D3,Fully Paid
B,B1,Fully Paid
B,B1,Fully Paid
A,A3,Fully Paid
B,B1,Fully Paid
F,F5,Charged Off
B,B2,Fully Paid
E,E3,Fully Paid
A,A2,Fully Paid
C,C1,Charged Off
A,A4,Fully Paid
D,D5,Fully Paid
B,B3,Fully Paid
A,A4,Fully Paid
D,D3,Charged Off
A,A5,Fully Paid
B,B3,Charged Off
C,C3,Fully Paid
C,C3,Fully Paid
C,C5,Fully Paid
D,D2,Fully Paid
C,C2,Fully Paid
C,C1,Fully Paid
B,B5,Fully Paid
C,C1,Fully Paid
D,D3,Charged Off
B,B4,Fully Paid
C,C2,Fully Paid
B,B4,Fully Paid
B,B1,Charged Off
B,B3,Fully Paid
D,D2,Charged Off
A,A3,Fully Paid
E,E5,Charged Off
B,B4,Fully Paid
C,C4,Fully Paid
A,A2,Fully Paid
B,B2,Fully Paid
D,D1,Fully Paid
D,D1,Fully Paid
D,D2,Charged Off
A,A5,Fully Paid
B,B1,Fully Paid
F,F5,Fully Paid
A,A5,Fully Paid
C,C1,Fully Paid
C,C2,Charged Off
F,F1,Fully Paid
D,D2,Fully Paid
B,B1,Fully Paid
C,C2,Charged Off
B,B2,Fully Paid
A,A2,Fully Paid
C,C4,Fully Paid
B,B4,Charged Off
B,B1,Fully Paid
B,B3,Fully Paid
A,A5,Fully Paid
B,B5,Charged Off
B,B3,Fully Paid
D,D1,Fully Paid
B,B4,Fully Paid
B,B4,Fully Paid
E,E1,Charged Off
C,C2,Fully Paid
E,E3,Fully Paid
F,F2,Fully Paid
D,D2,Fully Paid
C,C5,Fully Paid
B,B2,Fully Paid
A,A5,Fully Paid
A,A5,Fully Paid
C,C4,Fully Paid
B,B1,Fully Paid
B,B1,Fully Paid
E,E5,Fully Paid
D,D3,Fully Paid
C,C2,Fully Paid
C,C2,Fully Paid
C,C3,Fully Paid
B,B5,Fully Paid
B,B5,Fully Paid
A,A4,Fully Paid
B,B4,Fully Paid
A,A4,Fully Paid
C,C4,Charged Off
B,B5,Fully Paid
B,B2,Fully Paid
A,A3,Fully Paid
B,B1,Fully Paid
D,D4,Fully Paid
A,A4,Charged Off
D,D2,Fully Paid
E,E2,Fully Paid
B,B1,Fully Paid
B,B1,Fully Paid
A,A4,Fully Paid
C,C1,Fully Paid
B,B3,Fully Paid
B,B3,Fully Paid
C,C2,Fully Paid
C,C2,Fully Paid
C,C2,Fully Paid
D,D2,Charged Off
E,E1,Fully Paid
D,D4,Fully Paid
B,B5,Fully Paid
F,F3,Charged Off
D,D3,Fully Paid
B,B2,Fully Paid
B,B3,Fully Paid
E,E1,Fully Paid
E,E3,Fully Paid
B,B2,Fully Paid
A,A4,Fully Paid
B,B2,Fully Paid
C,C2,Charged Off
B,B2,Fully Paid
C,C2,Fully Paid
A,A4,Fully Paid
B,B2,Fully Paid
B,B5,Fully Paid
E,E1,Fully Paid
C,C3,Fully Paid
C,C1,Fully Paid
A,A3,Charged Off
B,B2,Fully Paid
F,F2,Charged Off
B,B3,Fully Paid
A,A4,Fully Paid
A,A5,Fully Paid
B,B3,Fully Paid
D,D5,Fully Paid
F,F1,Fully Paid
D,D5,Fully Paid
C,C1,Fully Paid
B,B1,Fully Paid
B,B2,Fully Paid
E,E2,Charged Off
C,C3,Fully Paid
A,A3,Fully Paid
C,C4,Fully Paid
B,B5,Fully Paid
B,B5,Fully Paid
F,F1,Fully Paid
C,C5,Fully Paid
A,A3,Fully Paid
D,D3,Fully Paid
B,B5,Fully Paid
B,B5,Fully Paid
D,D1,Fully Paid
A,A5,Fully Paid
C,C1,Fully Paid
A,A1,Fully Paid
F,F1,Charged Off
C,C3,Fully Paid
E,E1,Fully Paid
B,B3,Fully Paid
D,D3,Charged Off
A,A5,Fully Paid
F,F1,Fully Paid
A,A3,Fully Paid
B,B5,Fully Paid
D,D2,Fully Paid
C,C2,Charged Off
C,C2,Fully Paid
F,F4,Fully Paid
A,A1,Fully Paid
D,D3,Charged Off
E,E4,Fully Paid
D,D3,Fully Paid
B,B5,Fully Paid
C,C4,Charged Off
C,C4,Fully Paid
B,B2,Fully Paid
B,B3,Charged Off
B,B3,Charged Off
B,B5,Fully Paid
D,D2,Fully Paid
C,C4,Fully Paid
B,B1,Fully Paid
B,B3,Fully Paid
B,B5,Fully Paid
F,F1,Fully Paid
E,E5,Fully Paid
C,C1,Charged Off
A,A4,Fully Paid
E,E3,Fully Paid
B,B5,Fully Paid
B,B3,Fully Paid
D,D4,Fully Paid
C,C1,Fully Paid
C,C4,Charged Off
C,C1,Fully Paid
E,E3,Charged Off
B,B3,Fully Paid
D,D3,Charged Off
B,B3,Fully Paid
A,A3,Charged Off
B,B4,Fully Paid
C,C5,Charged Off
A,A5,Fully Paid
B,B3,Fully Paid
C,C2,Fully Paid
B,B1,Fully Paid
B,B5,Charged Off
D,D2,Fully Paid
C,C2,Fully Paid
C,C1,Fully Paid
A,A5,Fully Paid
D,D3,Fully Paid
A,A2,Fully Paid
A,A4,Fully Paid
D,D5,Charged Off
B,B3,Fully Paid
E,E2,Fully Paid
D,D2,Fully Paid
A,A3,Charged Off
C,C3,Fully Paid
C,C1,Fully Paid
E,E1,Charged Off
B,B5,Charged Off
B,B3,Fully Paid
D,D3,Charged Off
B,B4,Fully Paid
C,C1,Charged Off
C,C4,Charged Off
B,B1,Fully Paid
A,A1,Fully Paid
B,B3,Fully Paid
B,B3,Charged Off
B,B2,Charged Off
A,A2,Fully Paid
B,B4,Fully Paid
C,C5,Fully Paid
A,A3,Fully Paid
G,G4,Fully Paid
C,C3,Fully Paid
A,A4,Fully Paid
C,C5,Fully Paid
B,B5,Fully Paid
C,C5,Fully Paid
A,A3,Fully Paid
B,B2,Charged Off
E,E4,Fully Paid
E,E4,Charged Off
A,A4,Fully Paid
C,C2,Fully Paid
A,A5,Fully Paid
B,B4,Fully Paid
B,B2,Fully Paid
C,C1,Fully Paid
A,A5,Fully Paid
B,B3,Fully Paid
B,B3,Fully Paid
B,B4,Fully Paid
A,A5,Fully Paid
F,F1,Fully Paid
A,A4,Fully Paid
